PkgWatt
83.30
83.51
83.42
85.03
82.89
83.83
81.43
82.96
83.73
82.04
82.99
83.32
83.12
83.29
83.10
82.72
82.69
81.82
76.19
75.99
75.09
76.49
76.20
78.17
76.11
77.04
76.68
78.50
77.20
77.02
78.64
79.87
79.82
78.82
80.38
80.27
79.03
79.10
79.28
80.51
78.79
79.25
78.58
118.11
107.91
78.94
80.98
78.91
79.05
79.42
78.11
78.66
78.81
79.38
80.78
79.50
80.94
80.99
80.23
81.49
80.57
81.36
92.04
117.64
81.52
81.28
81.43
80.37
79.59
80.70
81.00
80.41
80.40
78.06
80.24
79.42
79.79
79.23
78.16
78.77
78.13
78.69
78.66
77.98
79.06
77.69
81.09
79.11
79.43
79.14
79.53
80.25
80.64
79.05
81.23
80.66
80.36
79.12
79.08
80.08
77.95
78.46
79.23
77.11
78.53
80.22
78.14
78.11
77.95
76.82
79.43
78.80
80.00
79.13
79.62
79.42
81.01
79.36
79.48
79.33
78.97
78.39
78.59
78.54
78.07
77.73
78.65
79.65
78.73
78.27
78.55
78.25
78.66
79.44
76.17
79.40
80.24
78.78
80.06
78.79
80.90
82.02
79.61
80.59
78.09
79.17
78.78
78.80
79.15
77.57
79.98
79.93
80.32
78.80
78.36
78.54
77.74
78.91
79.04
79.40
79.18
81.22
80.02
81.41
78.83
80.89
80.26
79.78
79.57
79.49
79.51
79.30
78.21
79.18
77.02
78.58
79.38
78.79
78.96
77.92
78.62
78.89
77.99
78.94
78.68
79.51
79.45
80.75
78.03
79.13
80.11
79.32
80.51
79.89
77.80
77.86
77.07
79.33
79.12
80.49
78.45
78.16
76.78
79.54
77.54
78.76
77.19
79.04
79.03
78.63
79.00
81.84
79.65
81.41
79.42
82.07
79.19
80.24
77.93
78.27
79.15
77.92
78.20
78.86
76.72
79.31
78.71
77.96
76.11
78.66
77.78
78.24
78.23
77.88
79.21
78.75
80.40
80.18
80.35
80.72
78.77
81.15
79.87
79.45
79.95
79.14
77.66
79.25
78.94
77.82
78.77
78.93
78.95
77.99
78.10
80.36
78.05
79.87
77.92
79.60
79.06
78.31
79.14
79.49
79.65
79.73
78.43
80.67
78.71
79.40
77.73
77.79
78.65
79.30
76.95
79.60
78.24
80.50
80.04
78.21
78.40
77.61
77.60
79.57
79.88
81.95
78.73
80.06
78.59
80.12
78.31
80.10
77.85
78.75
77.80
79.22
79.08
77.42
80.65
78.14
78.53
80.78
78.29
78.56
78.49
78.53
78.36
79.38
78.41
79.84
80.34
81.08
80.47
79.64
78.84
82.18
79.10
78.72
78.63
78.08
79.06
77.84
79.91
78.40
78.95
79.42
78.13
79.16
78.85
78.32
78.07
77.85
79.01
78.65
80.70
80.76
78.40
79.15
78.95
80.40
79.77
78.91
78.57
77.66
77.85
78.53
78.87
79.16
77.54
78.56
77.10
79.95
77.86
77.15
78.76
78.93
77.48
80.40
77.63
80.30
79.08
81.60
79.11
79.43
79.79
80.96
78.69
77.37
78.25
77.57
79.81
78.03
78.76
78.80
78.04
78.92
76.89
80.50
77.05
79.24
78.50
79.08
79.62
80.08
78.91
80.00
79.63
80.06
79.38
79.13
79.79
78.72
78.25
78.21
79.06
79.47
78.37
77.95
79.12
78.87
78.88
77.47
79.28
79.86
77.55
78.97
78.84
79.45
79.53
79.22
79.34
78.72
81.61
80.32
80.12
79.22
77.28
79.08
77.59
77.24
78.37
78.12
77.42
79.26
78.65
78.30
77.69
77.13
80.64
77.51
77.94
78.05
77.50
78.88
77.91
79.35
79.55
79.54
80.85
79.60
82.03
81.69
80.07
78.70
77.04
79.45
78.24
77.05
79.45
79.18
77.69
78.45
78.92
79.44
77.62
80.24
80.30
79.13
80.24
79.61
79.17
78.20
81.48
78.98
79.94
78.82
77.15
79.16
79.04
80.57
77.82
79.21
78.09
78.19
78.11
79.59
77.13
78.37
78.51
77.74
78.05
80.58
79.11
79.40
81.40
79.84
79.26
80.74
79.36
81.48
77.82
79.47
77.25
79.50
77.80
78.76
78.43
77.63
78.35
79.53
78.09
78.93
77.39
78.97
78.78
77.09
77.56
77.45
78.91
80.63
79.87
79.20
79.42
79.64
79.34
80.08
78.61
77.86
80.64
77.61
79.68
78.62
77.03
79.62
77.84
78.43
77.99
79.56
79.12
78.40
77.52
80.46
80.54
79.39
80.09
78.34
81.11
79.43
80.08
80.83
78.00
78.85
79.51
77.83
78.36
78.22
78.79
78.87
77.33
78.68
78.53
77.08
78.18
79.85
80.67
79.70
80.40
79.20
80.12
79.37
78.71
81.63
78.49
78.59
78.44
78.58
80.28
78.23
79.21
78.54
76.73
79.78
78.78
79.03
78.59
78.54
78.09
79.02
78.70
82.77
79.64
80.94
80.16
79.96
79.01
79.22
78.57
78.62
78.89
79.06
78.52
78.04
78.42
78.55
78.29
79.27
78.63
79.20
78.73
79.16
79.76
81.83
78.67
79.60
78.71
79.62
80.26
79.89
78.26
79.52
78.68
78.36
79.03
80.98
78.31
78.27
78.05
79.23
78.19
78.65
79.51
78.64
78.13
81.79
79.94
79.92
80.81
80.70
79.46
79.05
79.77
77.28
78.47
77.82
78.40
78.77
77.78
78.92
77.67
80.02
77.98
78.44
78.77
79.67
81.42
80.34
78.24
79.45
81.50
81.34
80.25
79.96
78.26
78.89
77.69
79.02
77.77
79.18
78.57
77.43
79.27
79.83
78.08
80.23
78.21
78.00
78.27
77.94
79.07
80.01
80.07
80.20
80.14
78.39
78.63
78.40
78.10
78.70
79.58
77.98
78.92
78.78
78.77
79.02
79.52
78.92
78.62
78.15
78.24
77.91
79.03
80.76
81.08
81.21
78.64
81.57
80.58
78.24
78.34
77.18
78.64
78.86
77.63
78.14
78.89
79.20
77.17
78.17
80.53
77.51
78.05
78.83
80.76
79.62
79.83
81.18
79.64
81.25
80.60
77.96
78.29
78.95
77.10
76.86
78.21
77.68
77.25
78.54
79.04
78.42
77.44
77.86
77.99
78.29
79.28
78.21
78.83
78.37
79.72
78.45
80.65
79.60
79.75
79.06
80.09
78.52
78.23
78.48
79.69
78.26
79.15
78.80
79.31
78.33
80.04
79.62
78.81
77.73
78.57
79.09
79.24
79.16
78.79
80.42
80.18
80.04
79.40
78.90
79.96
79.50
79.07
80.44
78.14
79.16
78.42
78.58
78.28
78.94
77.88
76.62
78.05
79.24
78.34
78.08
80.03
79.02
77.67
79.22
79.49
80.35
80.73
79.18
80.13
79.37
79.15
78.95
79.86
78.53
79.56
79.44
78.59
80.18
81.00
79.87
77.37
79.49
79.30
79.02
79.74
78.37
79.28
79.87
79.39
80.74
