seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
3,VITS,0,13.5,1910.5667,28.0,106.0,19.0,50.0,81.70987,15122.134,6.4565372,3.597504,3.597504
3,VITS,1,13.5,44749.8,26.0,6.0,19.0,6.0,80.97812,13863.52,6.5202346,4.54411,0.9466059
3,VITS,2,14.0,86934.7,22.0,56.0,19.0,55.0,80.821495,14804.048,6.536416,9.322655,4.7785444
3,VITS,3,14.0,3517.5,18.0,71.0,18.0,71.0,80.50291,15519.377,6.552703,11.695263,2.3726082
3,VITS,4,13.5,2300.3,11.0,101.0,11.0,101.0,80.174,15672.452,6.585598,13.0468,1.3515368
3,VITS,5,14.0,11942.7,24.0,46.0,11.0,45.0,79.83926,15036.141,6.618932,13.885639,0.8388395
3,VITS,6,14.0,38506.8,14.0,46.0,11.0,45.0,79.33458,14454.927,6.652716,17.31643,3.4307904
3,VITS,7,13.5,81562.8,23.0,26.0,12.0,26.0,78.86627,13539.354,6.704264,19.567446,2.251016
3,VITS,8,14.0,74593.6,20.0,106.0,12.0,105.0,79.04131,14622.538,6.686963,21.679089,2.1116426
3,VITS,9,13.5,39600.133,11.0,11.0,11.0,11.0,78.60236,13386.364,6.498559,23.639904,1.9608153
3,VITS,10,14.0,125412.0,9.0,91.0,9.0,90.0,78.28831,13686.928,6.756898,29.197384,5.557479
3,VITS,11,13.5,81938.164,13.0,21.0,9.0,21.0,77.86933,12702.235,6.5694857,30.009998,0.8126142
3,VITS,12,14.0,294240.0,20.0,21.0,9.0,21.0,77.48034,11816.012,6.6057186,32.70007,2.6900704
3,VITS,13,13.5,277716.0,17.0,81.0,10.0,81.0,77.212845,12120.011,6.6240335,33.00372,0.3036484
3,VITS,14,14.0,284702.66,21.0,51.0,11.0,51.0,76.99662,11945.609,6.6424837,33.235672,0.23195261
3,VITS,15,14.0,287316.0,23.0,41.0,11.0,41.0,76.930725,11596.648,6.6424837,33.6453,0.40962976
3,VITS,16,13.5,287316.0,9.0,46.0,9.0,46.0,76.80931,11282.584,6.6610713,35.63771,1.9924074
3,VITS,17,14.0,276564.0,21.0,86.0,9.0,86.0,76.43998,11716.726,6.698666,38.59016,2.9524515
3,VITS,18,13.5,290208.0,18.0,36.0,10.0,36.0,76.36291,11197.853,6.698666,39.203278,0.61311835
3,VITS,19,13.5,289404.8,22.0,36.0,11.0,36.0,76.15407,10794.867,6.7176776,40.00961,0.80633134
3,VITS,20,14.0,283092.0,19.0,56.0,11.0,56.0,76.09297,10842.581,6.7368345,43.887463,3.8778543
3,VITS,21,13.5,281940.0,10.0,66.0,10.0,66.0,76.03137,10962.322,6.7368345,46.838318,2.9508562
3,VITS,22,14.0,296964.0,14.0,11.0,10.0,11.0,75.91731,10068.49,6.44918,48.479485,1.641167
3,VITS,23,13.5,293664.0,21.0,21.0,11.0,21.0,75.61286,9484.041,6.487941,49.4523,0.9728174
3,VITS,24,13.5,283015.2,17.0,51.0,12.0,51.0,75.56218,9693.558,6.487941,53.002846,3.5505457
3,VITS,25,14.0,276948.0,25.0,66.0,12.0,66.0,75.6401,10261.002,6.487941,54.772182,1.7693377
