seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
2,VITS,0,13.0,7226.467,28.0,106.0,19.0,105.0,79.4592,41055.465,7.682293,1.1542647,1.1542647
2,VITS,1,12.5,40553.4,23.0,11.0,19.0,11.0,79.308266,37409.01,7.528146,3.7879324,2.6336677
2,VITS,2,13.0,95747.266,17.0,61.0,17.0,60.0,79.30921,35791.633,7.528146,7.3811226,3.59319
2,VITS,3,13.0,2943.5334,21.0,36.0,17.0,36.0,79.089905,33459.535,7.475384,9.025991,1.6448684
2,VITS,4,13.0,29474.0,13.0,21.0,13.0,21.0,78.60395,30643.502,7.4147997,9.811578,0.7855862
2,VITS,5,13.0,139841.8,9.0,6.0,9.0,6.0,78.352936,27691.951,7.326987,10.501251,0.68967366
2,VITS,6,12.5,283092.0,23.0,61.0,9.0,61.0,78.200645,26049.957,7.344655,12.427254,1.9260026
2,VITS,7,13.0,270940.0,15.0,106.0,9.0,106.0,77.96018,25377.762,7.2446704,13.809081,1.3818271
2,VITS,8,13.0,121931.6,15.0,41.0,9.0,41.0,77.63299,23582.385,7.280642,14.494913,0.685832
2,VITS,9,13.0,208092.0,23.0,61.0,9.0,61.0,77.35863,22351.346,7.1652985,15.793663,1.2987499
2,VITS,10,12.5,240208.0,14.0,36.0,9.0,36.0,76.9951,20769.012,7.202064,16.97469,1.1810262
2,VITS,11,13.0,298308.0,17.0,6.0,9.0,6.0,76.6669,18804.91,7.085235,20.714212,3.7395234
2,VITS,12,12.5,290208.0,14.0,36.0,10.0,36.0,76.687325,17577.219,7.085235,21.886257,1.1720451
2,VITS,13,13.0,283092.0,18.0,61.0,10.0,61.0,76.69551,16946.697,7.085235,25.06227,3.1760125
2,VITS,14,12.5,290592.0,20.0,31.0,11.0,31.0,76.46385,15879.228,6.921793,26.874031,1.8117611
2,VITS,15,13.0,268422.6,28.0,96.0,12.0,96.0,76.388306,16439.145,6.921793,31.976084,5.1020527
2,VITS,16,13.0,294372.0,12.0,16.0,12.0,16.0,76.220085,15170.431,6.9408045,33.373135,1.397052
2,VITS,17,12.0,283860.0,28.0,46.0,12.0,46.0,76.18479,14729.388,6.9408045,36.114704,2.7415679
2,VITS,18,12.5,267744.0,27.0,91.0,12.0,91.0,76.22194,15406.849,6.9408045,40.567326,4.4526205
2,VITS,19,13.0,275796.0,15.0,61.0,13.0,61.0,76.42088,15479.764,6.921793,46.10209,5.5347614
2,VITS,20,12.5,54242.035,28.0,106.0,14.0,104.0,76.72319,16982.4,7.066509,47.3916,1.2895133
2,VITS,21,13.5,31257.967,21.0,16.0,14.0,16.0,76.501114,15747.5205,6.902925,52.539665,5.148062
2,VITS,22,13.0,25441.434,25.0,91.0,15.0,0.0,76.81261,16922.156,7.066509,53.338524,0.798857
2,VITS,23,13.0,2650.9,15.0,41.0,15.0,41.0,76.63931,16487.459,6.902925,54.717323,1.3787992
2,VITS,24,12.5,3165.7334,22.0,71.0,15.0,68.0,76.68806,16834.58,7.085235,57.355164,2.6378388
2,VITS,25,13.0,2599.6667,18.0,56.0,16.0,0.0,76.50014,16660.936,7.085235,59.44507,2.0899053
2,VITS,26,12.0,36921.5,13.0,11.0,13.0,11.0,76.51595,15288.282,6.902925,61.710636,2.2655694
2,VITS,27,13.5,125664.07,12.0,61.0,12.0,60.0,76.96578,15192.147,6.8656106,66.55034,4.8396993
2,VITS,28,13.0,32285.133,9.0,101.0,9.0,101.0,76.83718,15511.013,6.884198,69.66002,3.109682
2,VITS,29,13.0,13541.8,20.0,56.0,9.0,55.0,76.727905,14959.111,6.884198,71.39995,1.7399322
2,VITS,30,13.0,33270.535,10.0,46.0,10.0,45.0,76.198944,14282.4,6.9408045,72.35595,0.95600003
2,VITS,31,12.5,81392.766,20.0,41.0,10.0,41.0,76.020195,13596.561,6.9599614,75.3877,3.031753
2,VITS,32,13.0,69708.57,25.0,106.0,11.0,105.0,76.17148,14370.344,6.9408045,81.77988,6.3921766
2,VITS,33,12.5,3608.0334,22.0,56.0,12.0,56.0,75.974396,14058.483,6.9599614,83.49558,1.7157024
2,VITS,34,13.0,3168.9,20.0,61.0,12.0,61.0,75.78331,13957.701,6.9792666,87.331406,3.8358264
2,VITS,35,13.0,2295.2334,28.0,106.0,13.0,0.0,75.76234,14214.225,6.9792666,88.325264,0.9938603
2,VITS,36,12.5,2771.2,15.0,51.0,13.0,51.0,75.745636,14073.068,6.9792666,90.992546,2.6672854
2,VITS,37,13.0,2449.1333,25.0,101.0,14.0,0.0,75.98818,14425.068,6.9599614,95.3336,4.3410535
2,VITS,38,13.0,4296.067,21.0,36.0,15.0,36.0,75.77078,14090.988,6.9792666,96.03454,0.70093685
2,VITS,39,13.0,2797.7334,17.0,86.0,15.0,0.0,75.7978,14592.396,6.9792666,97.51523,1.4806905
2,VITS,40,13.0,3419.0334,18.0,86.0,16.0,62.0,75.62756,15645.557,6.998722,98.796715,1.2814828
2,VITS,41,12.5,27796.467,13.0,21.0,13.0,21.0,75.32459,14609.214,7.01833,100.118835,1.3221185
2,VITS,42,13.0,58596.168,24.0,71.0,13.0,70.0,75.368904,14991.493,7.01833,104.02511,3.9062707
2,VITS,43,13.0,2926.6333,22.0,71.0,14.0,63.0,75.31566,15289.117,7.01833,104.656525,0.631417
2,VITS,44,12.5,2458.1333,16.0,61.0,14.0,61.0,75.33556,15355.032,7.01833,107.59537,2.9388444
2,VITS,45,13.0,2834.6,10.0,71.0,10.0,71.0,75.32987,15105.849,7.01833,111.98752,4.3921485
2,VITS,46,13.0,27535.434,15.0,36.0,10.0,35.0,75.22208,14235.264,7.0380926,114.15566,2.168144
2,VITS,47,12.5,58806.5,22.0,71.0,11.0,70.0,75.18867,14246.138,7.0380926,115.23161,1.0759523
2,VITS,48,13.0,3346.3,15.0,81.0,12.0,0.0,75.43666,14467.844,7.01833,120.17644,4.9448237
2,VITS,49,13.0,29447.566,22.0,26.0,12.0,26.0,75.52102,13612.419,6.998722,121.01646,0.8400203
2,VITS,50,12.5,114937.03,18.0,21.0,13.0,21.0,75.37926,12801.577,6.795203,123.87832,2.8618615
2,VITS,51,13.5,294240.0,9.0,21.0,9.0,21.0,75.42567,11905.42,6.795203,126.276596,2.3982794
2,VITS,52,13.0,284628.0,26.0,56.0,9.0,56.0,75.44836,11739.678,6.795203,128.31789,2.0412886
2,VITS,53,12.5,281940.0,18.0,66.0,10.0,66.0,75.416534,11769.71,6.795203,130.02246,1.7045786
2,VITS,54,13.0,283092.0,18.0,61.0,10.0,61.0,75.399414,11719.938,6.795203,132.21841,2.1959603
2,VITS,55,13.0,295141.1,12.0,16.0,11.0,16.0,75.25404,10871.945,6.8149657,133.5751,1.3566897
2,VITS,56,12.5,289056.0,25.0,36.0,11.0,36.0,75.45918,10514.351,6.795203,135.47148,1.896375
2,VITS,57,13.0,287316.0,13.0,36.0,12.0,36.0,75.24696,10308.516,6.527312,138.20932,2.7378347
2,VITS,58,12.0,297845.6,27.0,6.0,13.0,6.0,74.873146,9424.384,6.5673127,141.37234,3.1630208
2,VITS,59,13.0,270965.5,9.0,106.0,9.0,106.0,74.88272,10421.546,6.5673127,144.95648,3.584132
2,VITS,60,12.5,295536.0,19.0,16.0,10.0,16.0,74.56481,9676.991,6.5875554,146.43896,1.4824833
2,VITS,61,13.0,272427.6,13.0,101.0,10.0,101.0,74.863976,10545.771,6.8549666,150.16982,3.7308486
2,VITS,62,12.5,290592.0,20.0,31.0,11.0,31.0,74.7591,10118.395,6.5673127,151.36293,1.1931145
2,VITS,63,12.5,292896.0,9.0,26.0,9.0,26.0,74.45281,9580.155,6.607964,153.97382,2.610893
2,VITS,64,11.5,298308.0,21.0,6.0,9.0,6.0,74.19937,8734.939,6.62854,158.86906,4.8952484
2,VITS,65,13.0,298308.0,20.0,6.0,10.0,6.0,74.04038,7974.2456,6.649287,163.90729,5.0382156
2,VITS,66,13.0,270957.0,23.0,106.0,10.0,106.0,74.55859,9109.621,6.5875554,167.06342,3.1561215
2,VITS,67,13.0,272352.0,17.0,91.0,11.0,91.0,74.64441,10041.859,6.5875554,170.71175,3.6483338
2,VITS,68,13.5,296577.34,23.0,11.0,12.0,11.0,74.55066,9267.807,6.5875554,172.22517,1.5134329
2,VITS,69,13.0,275412.0,21.0,71.0,12.0,71.0,74.87144,9980.226,6.5673127,173.81467,1.5894964
2,VITS,70,12.5,285954.94,15.0,36.0,13.0,36.0,75.12244,9930.203,6.527312,175.1211,1.3064314
2,VITS,71,12.5,293664.0,22.0,16.0,13.0,16.0,75.06399,9359.583,6.547232,182.99693,7.875836
2,VITS,72,13.0,266196.0,22.0,76.0,14.0,76.0,75.39116,10677.225,6.795203,187.5937,4.596775
2,VITS,73,13.0,292861.88,17.0,16.0,15.0,16.0,75.24315,10091.636,6.527312,189.72343,2.1297338
2,VITS,74,13.0,272352.0,22.0,56.0,15.0,56.0,75.521965,10925.672,6.775595,190.91794,1.1945101
2,VITS,75,12.5,264699.2,20.0,66.0,16.0,66.0,75.77323,12189.904,6.7561398,193.72597,2.8080244
2,VITS,76,13.0,256980.0,20.0,81.0,16.0,81.0,75.87044,13838.914,6.9792666,199.20573,5.4797597
2,VITS,77,13.0,61950.668,9.0,86.0,9.0,85.0,75.59213,14017.423,6.998722,201.09082,1.8850852
2,VITS,78,12.5,3432.4,16.0,71.0,10.0,71.0,75.63784,13884.907,6.998722,203.06851,1.9776918
2,VITS,79,13.5,37438.535,23.0,16.0,10.0,16.0,75.73023,12785.75,6.7561398,205.99797,2.9294586
2,VITS,80,12.5,90499.93,28.0,106.0,11.0,105.0,75.822334,13640.615,6.9792666,206.85547,0.85750204
2,VITS,81,13.0,3594.4666,20.0,91.0,11.0,91.0,75.927,13970.073,6.9599614,210.36186,3.5063996
2,VITS,82,13.0,11810.167,12.0,36.0,12.0,35.0,75.787735,13400.186,6.7561398,212.21725,1.8553867
2,VITS,83,12.5,9889.5,18.0,86.0,13.0,0.0,76.09006,14046.834,6.9599614,213.07623,0.85897297
2,VITS,84,12.5,26519.768,10.0,31.0,10.0,30.0,76.18111,13192.551,6.7176776,215.62872,2.5524833
2,VITS,85,12.5,137019.73,10.0,6.0,10.0,6.0,75.9754,11986.096,6.7368345,219.6874,4.058673
2,VITS,86,13.0,277716.0,17.0,81.0,10.0,81.0,76.12317,12273.086,6.7176776,222.11685,2.4294603
2,VITS,87,13.0,167352.0,25.0,91.0,11.0,90.0,76.32731,12888.978,6.698666,223.48677,1.3699166
2,VITS,88,13.0,14408.967,27.0,71.0,12.0,0.0,76.16302,13191.493,6.7176776,227.38953,3.9027584
2,VITS,89,12.5,25066.533,27.0,26.0,12.0,26.0,76.200294,12461.997,6.7176776,228.66727,1.2777363
2,VITS,90,13.0,27191.732,22.0,91.0,13.0,0.0,76.32099,13584.357,6.921793,231.47372,2.8064635
2,VITS,91,13.0,2447.6667,10.0,106.0,10.0,106.0,76.36333,13982.962,6.921793,232.69527,1.2215407
2,VITS,92,13.0,18331.066,14.0,46.0,10.0,45.0,76.2879,13404.745,6.7176776,234.13792,1.4426581
2,VITS,93,13.0,29492.133,24.0,76.0,11.0,75.0,76.48697,13575.471,6.921793,235.65031,1.5123961
2,VITS,94,13.5,54565.633,13.0,6.0,11.0,6.0,76.16743,12340.324,6.7176776,237.31752,1.6671997
2,VITS,95,13.0,287316.0,21.0,36.0,12.0,36.0,76.21075,11951.892,6.7176776,238.36487,1.0473467
2,VITS,96,13.0,281940.0,15.0,51.0,12.0,51.0,76.15609,11960.702,6.7176776,239.3629,0.99803656
2,VITS,97,12.5,293664.0,26.0,16.0,13.0,16.0,76.011345,11187.032,6.7368345,242.57678,3.2138891
2,VITS,98,12.5,264694.5,17.0,81.0,14.0,81.0,76.27284,12458.409,6.7176776,245.56856,2.9917753
2,VITS,99,13.0,19103.5,12.0,91.0,12.0,0.0,76.49212,13336.088,6.698666,252.02765,6.459087
2,VITS,100,13.5,47647.867,23.0,6.0,12.0,6.0,76.12062,12144.079,6.7176776,253.13472,1.1070763
2,VITS,101,13.0,292704.0,18.0,21.0,12.0,21.0,75.923615,11416.071,6.7368345,253.96469,0.82997745
