legend,step,pwr
Minimum,0,76.12
Minimum,1,74.16
Minimum,2,75.41
Minimum,3,74.67
Minimum,4,74.59
Minimum,5,74.56
Minimum,6,74.91
Minimum,7,74.93
Minimum,8,74.43
Minimum,9,75.08
Minimum,10,74.56
Minimum,11,74.71
Minimum,12,80.31
Minimum,13,74.38
Minimum,14,74.33
Minimum,15,74.35
Minimum,16,75.21
Minimum,17,74.54
Minimum,18,74.94
Minimum,19,75.15
Minimum,20,74.62
Minimum,21,74.35
Minimum,22,75.15
Minimum,23,74.34
Minimum,24,74.4
Minimum,25,74.74
Minimum,26,75.6
Minimum,27,74.74
Minimum,28,73.96
Minimum,29,75.72
Minimum,30,74.32
Minimum,31,75.85
Minimum,32,74.29
Minimum,33,75.16
Minimum,34,74.4
Minimum,35,74.22
Minimum,36,74.59
Minimum,37,75.33
Minimum,38,74.93
Minimum,39,73.69
Minimum,40,74.76
Minimum,41,75.52
Minimum,42,74.2
Minimum,43,75.4
Minimum,44,74.85
Minimum,45,74.61
Minimum,46,74.52
Minimum,47,74.27
Minimum,48,75.01
Minimum,49,73.88
Minimum,50,75.26
Minimum,51,75.11
Minimum,52,74.4
Minimum,53,74.49
Minimum,54,75.75
Minimum,55,73.84
Minimum,56,74.54
Minimum,57,74.97
Minimum,58,75.2
Minimum,59,74.67
Minimum,60,81.12
Minimum,61,75.11
Minimum,62,74.62
Minimum,63,74.48
Minimum,64,74.78
Minimum,65,74.38
Minimum,66,74.96
Minimum,67,74.69
Minimum,68,74.06
Minimum,69,75.19
Minimum,70,75.01
Minimum,71,74.33
Minimum,72,74.8
Minimum,73,74.49
Minimum,74,74.97
Minimum,75,74.09
Minimum,76,75.29
Minimum,77,74.24
Minimum,78,75.1
Minimum,79,74.75
Minimum,80,75.21
Minimum,81,74.17
Minimum,82,74.41
Minimum,83,75.18
Minimum,84,75.14
Minimum,85,74.46
Minimum,86,74.42
Minimum,87,75.32
Minimum,88,73.54
Minimum,89,75.64
Minimum,90,74.33
Minimum,91,75.05
