legend,step,pwr,,76.1077233333334
Minimum,244,75.8,,
Minimum,245,76.69,,
Minimum,246,76.24,,
Minimum,247,76.17,,
Minimum,248,76.61,,
Minimum,249,76.62,,
Minimum,250,76.04,,
Minimum,251,77.58,,
Minimum,252,76.25,,
Minimum,253,76.24,,
Minimum,254,74.99,,
Minimum,255,75.77,,
Minimum,256,75.87,,
Minimum,257,73.84,,
Minimum,258,75.6,,
Minimum,259,74.54,,
Minimum,260,74.94,,
Minimum,261,75.19,,
Minimum,262,75.29,,
Minimum,263,74.21,,
Minimum,264,75.72,,
Minimum,265,74.85,,
Minimum,266,75.22,,
Minimum,267,76.26,,
Minimum,268,74.13,,
Minimum,269,75.47,,
Minimum,270,75.71,,
Minimum,271,76.32,,
Minimum,272,74.9,,
Minimum,273,74.79,,
Minimum,274,76.52,,
Minimum,275,74.83,,
Minimum,276,75.19,,
Minimum,277,75.39,,
Minimum,278,76.81,,
Minimum,279,74.35,,
Minimum,280,75.38,,
Minimum,281,75.11,,
Minimum,282,75.48,,
Minimum,283,76.13,,
Minimum,284,74.89,,
Minimum,285,75.08,,
Minimum,286,74.76,,
Minimum,287,75.03,,
Minimum,288,75.42,,
Minimum,289,73.66,,
Minimum,290,77.05,,
Minimum,291,74.14,,
Minimum,292,75.73,,
Minimum,293,74.9,,
Minimum,294,76.85,,
Minimum,295,74.44,,
Minimum,296,75.1,,
Minimum,297,76.15,,
Minimum,298,75.71,,
Minimum,299,75.82,,
Minimum,300,74.13,,
Minimum,301,76.53,,
Minimum,302,74.44,,
Minimum,303,76.31,,
Minimum,304,76.48,,
Minimum,305,75.55,,
Minimum,306,74.42,,
Minimum,307,75.42,,
Minimum,308,76.01,,
Minimum,309,74.58,,
Minimum,310,75.16,,
Minimum,311,74.39,,
Minimum,312,76.13,,
Minimum,313,74.56,,
Minimum,314,75.69,,
Minimum,315,76.52,,
Minimum,316,73.69,,
Minimum,317,75.53,,
Minimum,318,74.81,,
Minimum,319,74.92,,
Minimum,320,75.81,,
Minimum,321,74.2,,
Minimum,322,75.14,,
Minimum,323,74.24,,
Minimum,324,75.91,,
Minimum,325,76.82,,
Minimum,326,76.07,,
Minimum,327,74.45,,
Minimum,328,75.43,,
Minimum,329,75.21,,
Minimum,330,74.44,,
Minimum,331,75.39,,
Minimum,332,74.94,,
Minimum,333,77.65,,
Minimum,334,76.25,,
Minimum,335,73.46,,
Minimum,336,75.3,,
Minimum,337,76.38,,
Minimum,338,75.17,,
Minimum,339,76.2,,
Minimum,340,76.78,,
Minimum,341,74.97,,
Minimum,342,75.41,,
Minimum,343,76.63,,
Minimum,344,74.81,,
Minimum,345,76.6,,
Minimum,346,75.08,,
Minimum,347,75.56,,
Minimum,348,76.38,,
Minimum,349,75.81,,
Minimum,350,74.7,,
Minimum,351,75.69,,
Minimum,352,75.64,,
Minimum,353,75,,
Minimum,354,76.26,,
Minimum,355,77.09,,
Minimum,356,76.1,,
Minimum,357,77.89,,
Minimum,358,76.31,,
Minimum,359,76.71,,
Minimum,360,76.77,,
Minimum,361,77.32,,
Minimum,362,77.01,,
Minimum,363,76.12,,
Minimum,364,76.51,,
Minimum,365,77.35,,
Minimum,366,76.86,,
Minimum,367,76.76,,
Minimum,368,77.67,,
Minimum,369,75.45,,
Minimum,370,77.44,,
Minimum,371,76.35,,
Minimum,372,77.45,,
Minimum,373,76.61,,
Minimum,374,77.35,,
Minimum,375,75.85,,
Minimum,376,77.02,,
Minimum,377,76.75,,
Minimum,378,76.3,,
Minimum,379,77.49,,
Minimum,380,76.28,,
Minimum,381,77.3,,
Minimum,382,76.92,,
Minimum,383,77.65,,
Minimum,384,76.43,,
Minimum,385,76.74,,
Minimum,386,76.68,,
Minimum,387,76.37,,
Minimum,388,78.4,,
Minimum,389,76.87,,
Minimum,390,76.94,,
Minimum,391,76.56,,
Minimum,392,76.61,,
Minimum,393,76.59,,
Minimum,394,76.99,,
Minimum,395,74.6,,
Minimum,396,76.09,,
Minimum,397,75.83,,
Minimum,398,75.12,,
Minimum,399,77.69,,
Minimum,400,78.07,,
Minimum,401,77.36,,
Minimum,402,76.27,,
Minimum,403,76.09,,
Minimum,404,76.24,,
Minimum,405,76.13,,
Minimum,406,77.97,,
Minimum,407,76.78,,
Minimum,408,77.11,,
Minimum,409,76.44,,
Minimum,410,76.66,,
Minimum,411,78.37,,
Minimum,412,76.81,,
Minimum,413,77.25,,
Minimum,414,76.51,,
Minimum,415,76.04,,
Minimum,416,77.86,,
Minimum,417,75.3,,
Minimum,418,76.59,,
Minimum,419,76.46,,
Minimum,420,75.95,,
Minimum,421,76.47,,
Minimum,422,75.5,,
Minimum,423,74.66,,
Minimum,424,76.41,,
Minimum,425,75.94,,
Minimum,426,75.54,,
Minimum,427,75.97,,
Minimum,428,75.34,,
Minimum,429,76.28,,
Minimum,430,76.28,,
Minimum,431,76.83,,
Minimum,432,76.58,,
Minimum,433,76.66,,
Minimum,434,75.9,,
Minimum,435,76.67,,
Minimum,436,75.91,,
Minimum,437,75.97,,
Minimum,438,74.8,,
Minimum,439,76.55,,
Minimum,440,76.48,,
Minimum,441,77.66,,
Minimum,442,76.82,,
Minimum,443,77.56,,
Minimum,444,77.07,,
Minimum,445,76.03,,
Minimum,446,77.04,,
Minimum,447,77.38,,
Minimum,448,76.62,,
Minimum,449,76.66,,
Minimum,450,79.64,,
Minimum,451,77.31,,
Minimum,452,75.24,,
Minimum,453,77.41,,
Minimum,454,74.72,,
Minimum,455,75.1,,
Minimum,456,76.19,,
Minimum,457,74.3,,
Minimum,458,74.98,,
Minimum,459,74.59,,
Minimum,460,76.4,,
Minimum,461,75.01,,
Minimum,462,75.26,,
Minimum,463,76.31,,
Minimum,464,74.08,,
Minimum,465,76.06,,
Minimum,466,74.7,,
Minimum,467,74.33,,
Minimum,468,73.72,,
Minimum,469,77.05,,
Minimum,470,75.3,,
Minimum,471,77.1,,
Minimum,472,76.05,,
Minimum,473,77.12,,
Minimum,474,75.03,,
Minimum,475,75.59,,
Minimum,476,74.88,,
Minimum,477,74.57,,
Minimum,478,75.8,,
Minimum,479,76.42,,
Minimum,480,74.93,,
Minimum,481,76.87,,
Minimum,482,76.32,,
Minimum,483,74.02,,
Minimum,484,75.9,,
Minimum,485,74.31,,
Minimum,486,75.98,,
Minimum,487,74.7,,
Minimum,488,73.96,,
Minimum,489,77.29,,
Minimum,490,74.31,,
Minimum,491,74.75,,
Minimum,492,75.97,,
Minimum,493,75.58,,
Minimum,494,75.39,,
Minimum,495,74.97,,
Minimum,496,74.62,,
Minimum,497,75.45,,
Minimum,498,75.33,,
Minimum,499,77.09,,
Minimum,500,75.97,,
Minimum,501,75.89,,
Minimum,502,75.58,,
Minimum,503,75.69,,
Minimum,504,74.27,,
Minimum,505,75.5,,
Minimum,506,75.12,,
Minimum,507,75.89,,
Minimum,508,75.04,,
Minimum,509,75.33,,
Minimum,510,76.23,,
Minimum,511,75.72,,
Minimum,512,75.31,,
Minimum,513,75.2,,
Minimum,514,75.58,,
Minimum,515,77.61,,
Minimum,516,75.27,,
Minimum,517,75.28,,
Minimum,518,74.63,,
Minimum,519,75.08,,
Minimum,520,75.8,,
Minimum,521,75.24,,
Minimum,522,75.58,,
Minimum,523,75.3,,
Minimum,524,74.99,,
Minimum,525,75.01,,
Minimum,526,75.86,,
Minimum,527,74.34,,
Minimum,528,76.36,,
Minimum,529,76.71,,
Minimum,530,75.63,,
Minimum,531,75.85,,
Minimum,532,75.55,,
Minimum,533,74.82,,
Minimum,534,76.33,,
Minimum,535,74.73,,
Minimum,536,75.73,,
Minimum,537,74.42,,
Minimum,538,77.32,,
Minimum,539,74.44,,
Minimum,540,75.37,,
Minimum,541,76.42,,
Minimum,542,75.18,,
Minimum,543,74.88,,
Minimum,544,75.35,,
Minimum,545,76.26,,
Minimum,546,75.47,,
Minimum,547,75.24,,
Minimum,548,75.6,,
Minimum,549,75.76,,
Minimum,550,74.32,,
Minimum,551,75.85,,
Minimum,552,75.37,,
Minimum,553,76.22,,
Minimum,554,76.89,,
Minimum,555,78.14,,
Minimum,556,76.84,,
Minimum,557,75.84,,
Minimum,558,77.11,,
Minimum,559,77.67,,
Minimum,560,76.71,,
Minimum,561,76.05,,
Minimum,562,77.57,,
Minimum,563,77.13,,
Minimum,564,77.16,,
Minimum,565,76.18,,
Minimum,566,75.82,,
Minimum,567,79.66,,
Minimum,568,75.18,,
Minimum,569,76.11,,
