legend,step,pwr
Minimum,290,74.59
Minimum,291,74.05
Minimum,292,73.57
Minimum,293,73.27
Minimum,294,77.0
Minimum,295,74.97
Minimum,296,73.32
Minimum,297,74.33
Minimum,298,73.85
Minimum,299,74.95
Minimum,300,74.22
Minimum,301,74.94
Minimum,302,73.85
Minimum,303,74.65
Minimum,304,73.54
Minimum,305,76.43
Minimum,306,73.7
Minimum,307,72.72
Minimum,308,74.57
Minimum,309,75.31
Minimum,310,74.15
Minimum,311,75.23
Minimum,312,74.07
Minimum,313,75.28
Minimum,314,75.05
Minimum,315,75.38
Minimum,316,73.8
Minimum,317,74.72
Minimum,318,74.2
Minimum,319,74.0
Minimum,320,74.03
Minimum,321,74.66
Minimum,322,74.27
Minimum,323,75.23
Minimum,324,74.68
Minimum,325,74.18
Minimum,326,74.36
Minimum,327,73.34
Minimum,328,74.46
Minimum,329,74.73
Minimum,330,74.0
Minimum,331,74.48
Minimum,332,74.96
Minimum,333,75.81
Minimum,334,74.9
Minimum,335,73.03
Minimum,336,75.04
Minimum,337,73.72
Minimum,338,73.29
Minimum,339,75.83
Minimum,340,74.06
Minimum,341,73.97
Minimum,342,75.78
Minimum,343,75.37
Minimum,344,73.96
Minimum,345,74.86
Minimum,346,74.26
Minimum,347,73.51
Minimum,348,73.98
Minimum,349,75.22
Minimum,350,74.83
Minimum,351,73.35
Minimum,352,74.49
Minimum,353,75.02
Minimum,354,74.0
Minimum,355,74.6
Minimum,356,73.7
Minimum,357,75.24
Minimum,358,73.13
Minimum,359,75.15
Minimum,360,74.33
Minimum,361,73.57
Minimum,362,75.47
Minimum,363,73.36
Minimum,364,74.8
Minimum,365,74.12
Minimum,366,74.05
Minimum,367,74.54
Minimum,368,73.78
Minimum,369,75.78
Minimum,370,74.96
Minimum,371,74.41
Minimum,372,75.33
Minimum,373,74.48
Minimum,374,74.32
Minimum,375,73.69
Minimum,376,74.91
Minimum,377,74.72
Minimum,378,74.87
Minimum,379,73.67
Minimum,380,73.98
Minimum,381,74.09
Minimum,382,76.23
Minimum,383,73.69
Minimum,384,74.34
Minimum,385,74.76
Minimum,386,73.98
Minimum,387,75.98
Minimum,388,73.13
Minimum,389,74.49
Minimum,390,73.94
Minimum,391,75.07
Minimum,392,73.8
Minimum,393,74.94
Minimum,394,74.14
Minimum,395,74.8
Minimum,396,74.44
Minimum,397,74.53
Minimum,398,73.83
Minimum,399,75.72
Minimum,400,74.41
Minimum,401,73.74
Minimum,402,74.5
Minimum,403,74.96
Minimum,404,73.41
Minimum,405,74.62
Minimum,406,74.25
Minimum,407,74.81
Minimum,408,73.74
Minimum,409,75.18
Minimum,410,73.88
Minimum,411,75.82
Minimum,412,73.71
Minimum,413,74.75
Minimum,414,73.65
Minimum,415,75.05
Minimum,416,74.38
Minimum,417,74.06
Minimum,418,74.36
Minimum,419,74.66
Minimum,420,73.05
Minimum,421,76.32
Minimum,422,74.1
Minimum,423,74.42
Minimum,424,74.06
Minimum,425,74.78
Minimum,426,75.89
Minimum,427,74.5
Minimum,428,74.01
Minimum,429,74.29
Minimum,430,74.51
Minimum,431,74.31
Minimum,432,73.9
Minimum,433,74.28
Minimum,434,74.83
Minimum,435,74.92
Minimum,436,74.03
Minimum,437,74.78
Minimum,438,74.28
Minimum,439,73.89
Minimum,440,75.24
Minimum,441,74.1
Minimum,442,75.83
Minimum,443,73.33
Minimum,444,74.32
Minimum,445,74.54
Minimum,446,73.51
Minimum,447,74.62
Minimum,448,75.21
Minimum,449,73.56
Minimum,450,75.47
Minimum,451,74.87
Minimum,452,73.85
Minimum,453,75.19
Minimum,454,74.29
Minimum,455,75.51
Minimum,456,74.32
Minimum,457,75.47
Minimum,458,73.54
Minimum,459,75.28
Minimum,460,74.12
Minimum,461,74.36
Minimum,462,74.47
Minimum,463,75.02
Minimum,464,74.73
Minimum,465,73.58
Minimum,466,74.87
Minimum,467,74.54
Minimum,468,74.32
Minimum,469,74.53
Minimum,470,74.07
Minimum,471,75.48
Minimum,472,74.33
Minimum,473,74.06
Minimum,474,74.3
Minimum,475,75.8
Minimum,476,73.69
Minimum,477,73.91
Minimum,478,74.4
Minimum,479,73.77
Minimum,480,75.64
Minimum,481,74.28
Minimum,482,74.4
Minimum,483,75.18
Minimum,484,73.78
Minimum,485,75.22
Minimum,486,74.57
Minimum,487,74.52
Minimum,488,74.25
Minimum,489,75.66
Minimum,490,74.6
Minimum,491,74.92
Minimum,492,74.3
Minimum,493,74.72
Minimum,494,74.0
Minimum,495,74.67
Minimum,496,74.05
Minimum,497,74.24
Minimum,498,74.26
Minimum,499,75.71
Minimum,500,74.7
Minimum,501,74.43
Minimum,502,73.71
Minimum,503,75.31
Minimum,504,73.43
Minimum,505,75.4
Minimum,506,72.97
Minimum,507,74.65
Minimum,508,76.28
Minimum,509,73.9
Minimum,510,75.28
Minimum,511,74.51
Minimum,512,75.03
Minimum,513,74.05
Minimum,514,74.67
Minimum,515,73.59
Minimum,516,75.46
Minimum,517,74.43
Minimum,518,74.08
Minimum,519,75.12
Minimum,520,73.76
Minimum,521,75.41
Minimum,522,75.19
Minimum,523,73.34
Minimum,524,74.94
Minimum,525,73.97
Minimum,526,74.76
Minimum,527,74.05
Minimum,528,76.26
Minimum,529,74.79
Minimum,530,74.02
Minimum,531,74.81
Minimum,532,74.72
Minimum,533,73.11
Minimum,534,75.68
Minimum,535,74.12
Minimum,536,74.53
Minimum,537,75.07
Minimum,538,75.23
Minimum,539,76.28
Minimum,540,73.74
Minimum,541,74.94
Minimum,542,73.77
Minimum,543,74.52
Minimum,544,74.46
Minimum,545,75.01
Minimum,546,72.9
Minimum,547,75.78
Minimum,548,73.74
Minimum,549,74.57
Minimum,550,74.99
Minimum,551,75.03
Minimum,552,74.04
Minimum,553,74.5
Minimum,554,73.96
Minimum,555,74.93
Minimum,556,74.52
Minimum,557,74.39
Minimum,558,75.63
Minimum,559,73.16
Minimum,560,74.0
Minimum,561,73.48
Minimum,562,75.24
Minimum,563,74.58
Minimum,564,74.31
Minimum,565,75.0
Minimum,566,75.03
Minimum,567,75.28
Minimum,568,74.7
Minimum,569,74.5
Minimum,570,74.56
Minimum,571,75.05
Minimum,572,73.39
Minimum,573,74.92
Minimum,574,74.03
Minimum,575,74.0
Minimum,576,73.78
Minimum,577,76.15
Minimum,578,75.69
Minimum,579,73.95
Minimum,580,73.37
Minimum,581,75.18
Minimum,582,74.68
Minimum,583,74.27
Minimum,584,75.05
Minimum,585,74.55
Minimum,586,74.62
Minimum,587,73.65
Minimum,588,74.81
Minimum,589,75.42
Minimum,590,73.56
Minimum,591,73.3
Minimum,592,75.7
Minimum,593,74.58
Minimum,594,75.19
Minimum,595,74.33
Minimum,596,73.94
Minimum,597,74.67
Minimum,598,74.27
Minimum,599,75.16
Minimum,600,74.5
Minimum,601,73.78
Minimum,602,74.2
Minimum,603,74.99
Minimum,604,73.57
Minimum,605,73.92
Minimum,606,76.56
Minimum,607,74.6
Minimum,608,74.63
Minimum,609,73.53
Minimum,610,74.69
Minimum,611,75.42
Minimum,612,73.79
Minimum,613,74.52
Minimum,614,74.25
Minimum,615,74.34
Minimum,616,76.46
Minimum,617,73.69
Minimum,618,74.44
Minimum,619,73.29
Minimum,620,75.34
Minimum,621,74.69
Minimum,622,75.67
Minimum,623,75.19
Minimum,624,73.73
Minimum,625,75.01
Minimum,626,74.99
Minimum,627,74.75
Minimum,628,73.99
Minimum,629,74.47
Minimum,630,75.53
Minimum,631,74.4
Minimum,632,73.53
Minimum,633,76.52
Minimum,634,74.67
Minimum,635,74.18
Minimum,636,74.23
Minimum,637,75.02
Minimum,638,75.08
Minimum,639,75.09
Minimum,640,73.96
Minimum,641,73.92
Minimum,642,74.93
Minimum,643,73.85
Minimum,644,75.66
Minimum,645,74.68
Minimum,646,75.64
Minimum,647,74.43
Minimum,648,74.4
Minimum,649,74.69
Minimum,650,73.59
Minimum,651,75.89
Minimum,652,74.91
Minimum,653,74.68
Minimum,654,73.37
Minimum,655,75.92
Minimum,656,73.77
Minimum,657,75.07
Minimum,658,73.45
Minimum,659,75.57
Minimum,660,74.41
Minimum,661,75.05
Minimum,662,72.32
Minimum,663,75.46
Minimum,664,74.72
Minimum,665,74.46
Minimum,666,74.39
Minimum,667,74.65
Minimum,668,74.39
Minimum,669,74.39
Minimum,670,74.32
Minimum,671,74.23
Minimum,672,74.98
Minimum,673,74.97
Minimum,674,74.04
Minimum,675,74.69
Minimum,676,73.86
Minimum,677,73.87
Minimum,678,75.09
Minimum,679,74.75
Minimum,680,74.81
Minimum,681,74.66
Minimum,682,74.05
Minimum,683,74.95
Minimum,684,75.19
Minimum,685,74.86
Minimum,686,74.11
Minimum,687,74.67
Minimum,688,74.96
Minimum,689,73.92
Minimum,690,74.3
Minimum,691,74.05
Minimum,692,75.06
Minimum,693,75.59
Minimum,694,74.04
Minimum,695,74.63
Minimum,696,74.94
Minimum,697,74.56
Minimum,698,73.99
Minimum,699,74.96
Minimum,700,74.05
Minimum,701,74.56
Minimum,702,74.65
Minimum,703,74.3
Minimum,704,74.61
Minimum,705,74.98
Minimum,706,73.97
Minimum,707,75.63
Minimum,708,73.93
Minimum,709,75.16
Minimum,710,73.8
Minimum,711,73.66
Minimum,712,74.83
Minimum,713,73.94
Minimum,714,74.54
Minimum,715,75.01
Minimum,716,74.54
Minimum,717,75.36
Minimum,718,73.76
Minimum,719,75.2
Minimum,720,73.89
Minimum,721,74.85
Minimum,722,74.19
Minimum,723,76.02
Minimum,724,73.65
Minimum,725,74.33
Minimum,726,74.9
Minimum,727,74.62
Minimum,728,74.22
Minimum,729,74.08
Minimum,730,74.41
Minimum,731,74.36
Minimum,732,74.99
Minimum,733,75.45
Minimum,734,75.47
Minimum,735,75.06
Minimum,736,74.25
Minimum,737,73.78
Minimum,738,74.49
Minimum,739,74.74
Minimum,740,74.31
Minimum,741,75.25
Minimum,742,73.81
Minimum,743,75.51
Minimum,744,74.25
Minimum,745,74.0
Minimum,746,74.67
Minimum,747,73.93
Minimum,748,73.89
Minimum,749,73.78
Minimum,750,75.29
Minimum,751,74.88
Minimum,752,74.82
Minimum,753,72.83
Minimum,754,75.76
Minimum,755,73.98
Minimum,756,74.02
Minimum,757,74.53
Minimum,758,73.58
Minimum,759,74.72
Minimum,760,74.36
Minimum,761,75.69
Minimum,762,76.34
Minimum,763,74.45
Minimum,764,73.91
Minimum,765,74.67
Minimum,766,73.91
Minimum,767,74.47
Minimum,768,75.39
Minimum,769,74.32
Minimum,770,74.52
Minimum,771,75.17
Minimum,772,76.15
Minimum,773,73.44
Minimum,774,74.51
Minimum,775,74.37
Minimum,776,73.84
Minimum,777,74.3
Minimum,778,74.0
Minimum,779,74.37
Minimum,780,76.1
Minimum,781,73.56
Minimum,782,74.35
Minimum,783,75.56
Minimum,784,73.62
Minimum,785,74.43
Minimum,786,75.27
Minimum,787,74.36
Minimum,788,75.11
Minimum,789,73.09
Minimum,790,76.03
Minimum,791,74.61
Minimum,792,74.9
Minimum,793,75.22
Minimum,794,73.0
Minimum,795,74.13
Minimum,796,74.87
Minimum,797,75.13
Minimum,798,74.72
Minimum,799,74.54
Minimum,800,73.97
Minimum,801,76.34
Minimum,802,74.62
Minimum,803,74.98
Minimum,804,74.08
Minimum,805,74.33
Minimum,806,74.73
Minimum,807,73.58
Minimum,808,74.38
Minimum,809,73.84
Minimum,810,75.21
Minimum,811,74.74
Minimum,812,75.77
Minimum,813,73.76
Minimum,814,73.33
Minimum,815,74.37
Minimum,816,74.89
Minimum,817,75.05
Minimum,818,75.05
Minimum,819,74.69
Minimum,820,74.51
Minimum,821,73.83
Minimum,822,75.18
Minimum,823,75.37
Minimum,824,73.82
Minimum,825,74.26
Minimum,826,74.77
Minimum,827,74.54
Minimum,828,74.56
Minimum,829,73.96
Minimum,830,74.16
Minimum,831,75.94
Minimum,832,74.21
Minimum,833,73.44
Minimum,834,74.45
Minimum,835,75.82
Minimum,836,73.05
Minimum,837,75.07
Minimum,838,73.09
Minimum,839,74.99
Minimum,840,76.64
Minimum,841,74.74
Minimum,842,73.85
Minimum,843,74.84
Minimum,844,73.45
Minimum,845,75.1
Minimum,846,75.46
Minimum,847,74.36
Minimum,848,75.15
Minimum,849,74.18
Minimum,850,75.18
Minimum,851,75.52
Minimum,852,73.33
Minimum,853,74.38
Minimum,854,74.9
Minimum,855,74.73
Minimum,856,74.4
Minimum,857,74.62
Minimum,858,74.47
Minimum,859,74.13
Minimum,860,74.82
Minimum,861,74.46
Minimum,862,74.23
Minimum,863,74.52
Minimum,864,74.72
Minimum,865,74.04
Minimum,866,74.46
Minimum,867,74.41
Minimum,868,73.93
Minimum,869,74.38
Minimum,870,75.16
Minimum,871,74.36
Minimum,872,73.61
Minimum,873,75.44
Minimum,874,75.1
Minimum,875,74.32
Minimum,876,74.69
Minimum,877,74.09
Minimum,878,74.43
Minimum,879,76.82
Minimum,880,74.67
Minimum,881,73.34
Minimum,882,74.94
Minimum,883,74.12
Minimum,884,75.09
Minimum,885,74.2
Minimum,886,75.17
Minimum,887,74.38
Minimum,888,74.51
Minimum,889,75.33
Minimum,890,74.44
Minimum,891,74.53
Minimum,892,74.53
Minimum,893,74.46
Minimum,894,73.58
Minimum,895,75.17
Minimum,896,73.51
Minimum,897,74.67
Minimum,898,74.43
Minimum,899,74.99
Minimum,900,75.12
Minimum,901,74.41
Minimum,902,75.3
Minimum,903,74.74
Minimum,904,73.24
Minimum,905,75.37
Minimum,906,74.04
Minimum,907,73.74
Minimum,908,73.93
Minimum,909,75.86
Minimum,910,74.15
Minimum,911,75.25
Minimum,912,74.45
Minimum,913,74.33
Minimum,914,74.4
Minimum,915,74.53
Minimum,916,74.42
Minimum,917,75.33
Minimum,918,74.62
Minimum,919,75.12
Minimum,920,73.35
Minimum,921,75.27
Minimum,922,74.45
Minimum,923,73.44
Minimum,924,73.9
Minimum,925,75.84
Minimum,926,74.5
Minimum,927,75.07
Minimum,928,75.82
Minimum,929,75.29
Minimum,930,75.12
Minimum,931,73.86
Minimum,932,75.77
Minimum,933,73.34
Minimum,934,74.66
Minimum,935,74.22
Minimum,936,74.54
Minimum,937,74.46
Minimum,938,74.71
Minimum,939,74.88
Minimum,940,75.23
Minimum,941,74.92
Minimum,942,73.84
Minimum,943,74.23
Minimum,944,75.13
Minimum,945,74.41
Minimum,946,74.14
Minimum,947,74.55
Minimum,948,74.86
Minimum,949,74.29
Minimum,950,75.28
Minimum,951,73.51
Minimum,952,75.38
Minimum,953,74.12
Minimum,954,74.99
Minimum,955,73.96
Minimum,956,75.83
Minimum,957,75.88
Minimum,958,75.19
Minimum,959,75.28
