seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
9,Baseline,0,16.5,1407.6,28.0,106.0,20.0,0.0,80.95276,11405.066,6.2971077,1.8336961,1.8336961
9,Baseline,1,16.5,2580.2666,22.0,11.0,20.0,0.0,80.254105,12325.946,6.362471,2.890454,1.0567579
9,Baseline,2,16.0,2620.7334,26.0,36.0,20.0,0.0,79.73828,13160.979,6.395805,3.015509,0.12505476
9,Baseline,3,17.0,3242.3333,11.0,71.0,20.0,104.0,79.166985,14426.054,6.669781,4.0045485,0.9890396
9,Baseline,4,16.5,2200.8333,17.0,36.0,20.0,0.0,78.92439,14756.115,6.686963,4.0234537,0.018905334
9,Baseline,5,17.5,2038.2667,13.0,16.0,20.0,0.0,78.7419,14924.744,6.704264,4.057062,0.03360824
9,Baseline,6,17.0,4915.433,18.0,46.0,20.0,0.0,78.56857,17073.07,6.9039965,4.0582447,0.0011825687
9,Baseline,7,16.5,4437.0,9.0,86.0,20.0,0.0,78.443146,18925.096,6.9215403,4.249695,0.19145027
9,Baseline,8,17.5,3332.4,25.0,66.0,20.0,0.0,77.97296,19719.307,7.1111445,5.2265143,0.97681934
9,Baseline,9,17.0,3973.7334,23.0,46.0,20.0,0.0,77.9685,20920.549,7.1111445,6.908231,1.6817162
9,Baseline,10,17.0,3586.4,20.0,41.0,20.0,0.0,77.66318,21694.094,7.1471167,7.8634777,0.955247
9,Baseline,11,15.5,1356.3667,20.0,51.0,20.0,12.0,77.725685,20599.031,7.129066,9.58507,1.7215924
9,Baseline,12,17.0,3120.9666,25.0,101.0,20.0,6.0,77.526215,21060.568,7.1471167,13.592793,4.007724
9,Baseline,13,17.0,3321.2666,21.0,61.0,20.0,104.0,77.415886,21617.605,7.1652985,14.158185,0.56539154
9,Baseline,14,17.5,3249.8333,9.0,46.0,20.0,104.0,77.3943,22068.111,7.1652985,14.467016,0.3088312
9,Baseline,15,16.5,1595.6,27.0,21.0,20.0,0.0,77.353195,21155.434,7.1652985,14.89486,0.4278445
9,Baseline,16,17.0,2393.9333,12.0,21.0,20.0,17.0,77.58375,20974.29,7.1471167,15.419407,0.52454656
9,Baseline,17,17.0,1663.5,15.0,36.0,20.0,106.0,77.64596,20174.328,7.1471167,15.5658655,0.14645822
9,Baseline,18,17.5,3226.3,26.0,106.0,20.0,94.0,77.65634,20717.56,7.1471167,16.61706,1.0511943
9,Baseline,19,17.5,1553.5,26.0,16.0,20.0,0.0,77.58667,19875.139,7.1471167,17.550007,0.9329472
9,Baseline,20,16.5,2465.8333,20.0,6.0,20.0,104.0,77.42008,19844.21,7.1652985,17.8476,0.29759315
9,Baseline,21,16.0,2898.6,20.0,91.0,20.0,104.0,77.33596,20174.803,7.1652985,18.378769,0.5311675
9,Baseline,22,16.5,2093.3,13.0,71.0,20.0,0.0,77.44933,19828.924,7.1652985,18.421926,0.04315708
9,Baseline,23,17.0,3799.3,12.0,11.0,20.0,7.0,77.36372,20880.75,7.1652985,18.881052,0.45912644
9,Baseline,24,16.0,3587.4666,24.0,71.0,20.0,0.0,77.26554,21660.889,7.183614,19.606102,0.72505015
9,Baseline,25,17.0,4099.567,18.0,81.0,20.0,0.0,77.17133,22747.066,7.317139,19.913275,0.3071736
9,Baseline,26,16.5,2505.0,18.0,61.0,20.0,0.0,76.97566,22446.174,7.202064,20.12546,0.2121852
9,Baseline,27,17.0,5297.533,17.0,101.0,20.0,40.0,77.07831,24320.516,7.3355894,20.738775,0.61331475
9,Baseline,28,18.0,3987.6,17.0,101.0,21.0,0.0,76.94181,25106.465,7.3355894,21.646019,0.90724385
9,Baseline,29,17.0,3451.8333,14.0,106.0,21.0,0.0,76.910286,25408.777,7.3355894,22.771881,1.125862
9,Baseline,30,17.0,3818.3,15.0,81.0,21.0,0.0,76.95733,25955.02,7.4533677,23.191715,0.41983318
9,Baseline,31,17.0,4252.8335,27.0,31.0,22.0,10.0,77.01465,26809.705,7.4533677,23.2319,0.040184487
9,Baseline,32,17.5,3563.5334,22.0,76.0,22.0,0.0,77.19579,27015.4,7.4349174,24.206345,0.97444534
9,Baseline,33,17.0,3638.7334,17.0,21.0,22.0,0.0,77.24099,27047.781,7.4349174,26.577278,2.3709345
9,Baseline,34,16.5,4102.467,14.0,91.0,23.0,0.0,77.14921,27669.242,7.4349174,27.374216,0.7969384
9,Baseline,35,17.0,3006.8,17.0,96.0,23.0,106.0,77.095604,27287.758,7.4533677,27.505095,0.13087894
9,Baseline,36,17.0,2098.2666,25.0,16.0,23.0,0.0,76.88388,26268.37,7.4719553,27.709087,0.20399365
9,Baseline,37,17.5,2334.0,11.0,106.0,24.0,0.0,76.70147,25540.652,7.4719553,28.153196,0.4441096
9,Baseline,38,17.0,5042.0,20.0,51.0,24.0,106.0,76.86923,26671.521,7.4719553,30.313229,2.160032
9,Baseline,39,17.0,5099.1,14.0,46.0,24.0,46.0,77.08734,27563.46,7.4533677,30.850138,0.5369086
9,Baseline,40,17.5,7494.967,12.0,71.0,24.0,0.0,77.31927,30264.715,7.5219593,31.526228,0.67608947
9,Baseline,41,17.0,6891.967,12.0,16.0,24.0,103.0,77.46567,32530.137,7.617266,31.534391,0.0081640445
9,Baseline,42,16.5,7700.033,24.0,66.0,24.0,0.0,77.68038,34604.082,7.6860933,32.22606,0.6916694
9,Baseline,43,17.0,5094.933,9.0,76.0,23.0,0.0,77.62736,34942.45,7.6860933,33.44424,1.218181
9,Baseline,44,17.0,4273.6333,21.0,86.0,23.0,6.0,77.59839,34887.91,7.6860933,34.446384,1.0021428
9,Baseline,45,16.5,3197.6667,24.0,21.0,22.0,0.0,77.65489,33995.12,7.5990844,34.840084,0.39370015
9,Baseline,46,17.0,5219.2666,14.0,101.0,22.0,0.0,77.28959,34804.086,7.7225904,34.86389,0.023807801
9,Baseline,47,16.5,4267.1665,10.0,6.0,22.0,91.0,77.030624,34773.73,7.7410407,36.182106,1.3182142
9,Baseline,48,17.0,3853.1,27.0,76.0,21.0,6.0,76.91669,34404.17,7.6540318,36.77055,0.5884429
9,Baseline,49,16.5,3848.4333,17.0,51.0,21.0,0.0,76.78672,34073.914,7.6726193,37.468647,0.69809556
9,Baseline,50,16.5,3583.5334,17.0,61.0,21.0,94.0,76.86387,33567.082,7.6726193,38.848667,1.3800194
9,Baseline,51,17.0,4810.4,19.0,46.0,20.0,0.0,76.84084,34085.176,7.6726193,38.871582,0.022914167
9,Baseline,52,16.0,3512.1667,24.0,66.0,20.0,0.0,76.77249,33498.977,7.6726193,40.062134,1.1905534
9,Baseline,53,17.0,1820.1333,12.0,11.0,20.0,0.0,76.53157,31629.346,7.6913457,41.111267,1.0491325
9,Baseline,54,18.0,3033.3667,13.0,71.0,20.0,0.0,76.47287,30877.611,7.614907,41.76148,0.65021217
9,Baseline,55,15.5,3389.8667,10.0,31.0,20.0,0.0,76.36505,30518.33,7.614907,42.530075,0.76859796
9,Baseline,56,16.5,3724.1667,14.0,101.0,20.0,0.0,76.21863,30471.938,7.6339183,44.42123,1.8911558
9,Baseline,57,16.5,2123.4333,28.0,61.0,20.0,0.0,76.11974,29121.117,7.6339183,44.874397,0.4531676
9,Baseline,58,16.5,2491.8333,23.0,31.0,20.0,0.0,76.03746,28199.432,7.5477185,45.900486,1.0260873
9,Baseline,59,17.0,2503.2,23.0,61.0,20.0,0.0,75.87604,27379.303,7.5670238,46.452152,0.5516647
