seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
3,Baseline,0,20.0,8724.9,28.0,106.0,27.0,106.0,80.05898,60059.6,1.0629345,6.9985633,6.9985633
3,Baseline,1,20.0,6496.8,22.0,16.0,27.0,94.0,75.85674,51510.0,1.2307884,13.762046,6.7634826
3,Baseline,2,19.5,5639.6,26.0,36.0,27.0,0.0,77.54675,41131.6,1.4568605,20.397606,6.63556
3,Baseline,3,19.0,7569.65,27.0,86.0,27.0,91.0,76.982216,56396.4,1.1457578,30.863438,10.465832
3,Baseline,4,19.0,5514.4,17.0,51.0,27.0,0.0,78.869705,36173.6,1.6036651,39.745422,8.881983
3,Baseline,5,20.0,7662.75,21.0,26.0,27.0,0.0,75.54003,55586.8,1.1641064,49.211384,9.4659605
3,Baseline,6,19.5,8777.75,11.0,21.0,27.0,0.0,76.4068,58873.2,1.1160176,55.6132,6.4018183
3,Baseline,7,20.0,7695.1,9.0,86.0,27.0,0.0,80.04953,53565.2,1.179042,65.51437,9.901172
3,Baseline,8,20.0,8517.0,9.0,26.0,27.0,0.0,78.649704,52179.6,1.239896,71.68351,6.169135
3,Baseline,9,20.0,6849.45,14.0,106.0,27.0,0.0,76.408325,51114.8,1.2463266,79.901,8.217491
3,Baseline,10,19.5,5935.3,12.0,21.0,27.0,0.0,77.69163,46975.2,1.3106495,85.696175,5.795176
3,Baseline,11,20.0,8035.8,19.0,51.0,27.0,0.0,76.26449,48465.2,1.3329375,93.24812,7.5519447
3,Baseline,12,20.0,8297.75,23.0,66.0,27.0,0.0,82.8923,56546.8,1.1121782,99.67024,6.422116
3,Baseline,13,20.0,8521.45,23.0,51.0,27.0,0.0,79.87163,61268.4,1.0364821,106.138016,6.467775
3,Baseline,14,20.0,6121.7,20.0,101.0,27.0,0.0,79.764435,45184.0,1.3451179,113.3206,7.182588
3,Baseline,15,19.5,6203.9,12.0,11.0,27.0,0.0,78.1215,47714.8,1.2983197,121.82147,8.500868
3,Baseline,16,19.5,6092.0,19.0,41.0,27.0,0.0,76.19854,38220.0,1.5693996,130.88345,9.061986
3,Baseline,17,19.5,5028.0,13.0,66.0,27.0,0.0,78.41021,34550.8,1.6431034,140.09206,9.208604
3,Baseline,18,20.0,8028.6,13.0,46.0,27.0,0.0,76.960106,59899.6,1.0836924,150.02322,9.931173
3,Baseline,19,20.0,6356.3,20.0,11.0,26.0,0.0,80.002396,42190.0,1.430579,155.58385,5.560617
3,Baseline,20,20.0,2884.05,10.0,81.0,26.0,21.0,78.31932,23034.8,2.0322647,160.1837,4.5998473
3,Baseline,21,20.0,3205.9,28.0,76.0,26.0,0.0,76.54324,26053.6,1.9200044,167.0057,6.821999
3,Baseline,22,20.0,3633.25,12.0,81.0,26.0,104.0,76.92352,29561.2,1.7920696,172.67365,5.667944
3,Baseline,23,20.0,3074.95,23.0,81.0,26.0,71.0,76.13631,25109.2,1.9566805,178.93747,6.2638216
3,Baseline,24,19.5,3362.4,11.0,81.0,26.0,18.0,74.51174,27133.6,1.8943793,186.22104,7.2835765
3,Baseline,25,19.5,4082.25,11.0,86.0,26.0,71.0,75.67132,33145.2,1.676515,193.83331,7.612269
3,Baseline,26,19.5,4968.45,27.0,96.0,26.0,0.0,78.43599,40070.0,1.4701897,204.75381,10.920498
3,Baseline,27,18.5,5430.45,13.0,26.0,26.0,0.0,77.54226,44084.0,1.372233,212.08638,7.332565
3,Baseline,28,20.0,4523.9,15.0,6.0,26.0,72.0,77.38541,36541.2,1.5637443,219.32343,7.2370424
3,Baseline,29,20.5,5666.1,11.0,86.0,26.0,0.0,75.654915,45837.6,1.3474244,224.88724,5.563814
3,Baseline,30,20.0,3944.25,9.0,21.0,26.0,0.0,78.87921,31205.2,1.7264806,230.73267,5.845435
3,Baseline,31,19.5,2557.0,18.0,11.0,26.0,0.0,76.85356,20862.0,2.14383,236.86678,6.134104
3,Baseline,32,20.5,5287.8,10.0,106.0,26.0,37.0,78.190865,42074.8,1.4222704,245.87361,9.006829
3,Baseline,33,20.0,5017.2,20.0,96.0,26.0,0.0,77.81858,38841.2,1.5071135,251.98967,6.116058
3,Baseline,34,20.0,3904.9,17.0,21.0,26.0,0.0,78.749855,31749.2,1.7054878,258.28796,6.298304
3,Baseline,35,19.5,3914.65,20.0,26.0,26.0,0.0,75.66138,31647.6,1.7238926,263.38647,5.0985045
3,Baseline,36,19.5,5141.0,26.0,31.0,26.0,0.0,77.0081,41846.8,1.4249734,271.1128,7.726308
3,Baseline,37,20.0,4344.65,28.0,56.0,26.0,0.0,77.23248,35089.2,1.6048943,281.02744,9.914637
3,Baseline,38,20.0,4135.3,28.0,11.0,26.0,0.0,74.94038,33466.8,1.6815379,286.8424,5.8149734
3,Baseline,39,18.5,3753.8,26.0,51.0,26.0,0.0,75.952484,30371.2,1.7654014,291.96002,5.117621
3,Baseline,40,20.5,7529.3,25.0,31.0,27.0,0.0,76.46086,53230.0,1.2121186,300.66382,8.703787
3,Baseline,41,19.0,11531.9,20.0,51.0,27.0,94.0,79.476135,62281.2,1.0647675,307.00687,6.343063
3,Baseline,42,20.0,8227.55,20.0,11.0,27.0,0.0,77.13332,57962.4,1.110673,314.8765,7.8696375
3,Baseline,43,19.0,6653.9,27.0,16.0,27.0,0.0,76.40794,45420.4,1.3796422,321.67853,6.8020415
3,Baseline,44,20.0,8159.9,26.0,101.0,27.0,106.0,77.84974,58280.4,1.1031581,330.30872,8.630198
3,Baseline,45,20.0,7200.0,10.0,26.0,27.0,106.0,79.9907,54416.0,1.1517913,338.01877,7.71005
3,Baseline,46,20.0,8145.05,10.0,96.0,27.0,0.0,76.9931,62178.0,1.0424951,344.20224,6.1834726
3,Baseline,47,20.5,7897.55,26.0,91.0,27.0,19.0,78.61457,59533.6,1.074273,350.24554,6.0432973
3,Baseline,48,20.0,8099.0,16.0,36.0,27.0,0.0,78.495895,58995.2,1.088039,358.14178,7.8962407
3,Baseline,49,20.0,7052.65,12.0,36.0,27.0,0.0,78.32152,51110.8,1.2358773,363.19772,5.055938
3,Baseline,50,20.0,8336.85,10.0,6.0,27.0,17.0,77.10914,61608.0,1.0415994,369.308,6.11029
3,Baseline,51,19.5,6973.75,28.0,36.0,27.0,0.0,78.45926,43336.0,1.4281812,374.77515,5.46713
3,Baseline,52,19.5,8301.05,11.0,21.0,27.0,105.0,79.22369,54736.0,1.164746,382.9525,8.177375
3,Baseline,53,20.0,7944.5,12.0,11.0,27.0,0.0,81.22415,50533.2,1.2381936,392.47812,9.525596
3,Baseline,54,19.5,7792.25,23.0,51.0,27.0,0.0,80.49811,50233.6,1.2563393,400.8586,8.380488
3,Baseline,55,20.0,4937.85,10.0,26.0,27.0,16.0,80.14132,32034.8,1.714855,407.70804,6.8494306
3,Baseline,56,20.0,6915.1,14.0,36.0,27.0,0.0,77.76016,51138.8,1.2326101,413.39224,5.6841927
3,Baseline,57,20.0,9045.45,11.0,16.0,27.0,105.0,76.81097,53448.8,1.2356945,418.02148,4.629247
3,Baseline,58,19.5,6880.7,13.0,21.0,27.0,0.0,76.108086,54424.0,1.1748158,426.0627,8.041228
3,Baseline,59,20.0,6031.75,10.0,16.0,27.0,0.0,79.09701,48152.4,1.2700003,433.91516,7.8524494
3,Baseline,60,20.0,8615.55,15.0,66.0,27.0,17.0,78.10667,47971.2,1.3434368,441.11765,7.202472
3,Baseline,61,20.0,8488.45,17.0,91.0,27.0,0.0,80.24052,55430.0,1.1531848,447.8707,6.753047
3,Baseline,62,20.0,8084.3,24.0,21.0,27.0,0.0,79.718666,63529.2,0.9881627,453.37195,5.5012603
3,Baseline,63,20.0,4758.65,11.0,81.0,27.0,0.0,77.43961,35043.2,1.6185353,458.13498,4.76304
3,Baseline,64,19.5,4220.7,21.0,46.0,27.0,16.0,77.59424,32146.4,1.7015185,465.38864,7.2536616
3,Baseline,65,19.5,5608.95,16.0,16.0,27.0,36.0,77.76551,44816.4,1.3574426,473.3803,7.9916706
3,Baseline,66,20.0,7656.4,21.0,61.0,27.0,0.0,78.30239,56596.0,1.128749,482.41156,9.031251
3,Baseline,67,20.5,7721.0,22.0,101.0,27.0,0.0,79.626976,55262.4,1.1431684,489.60684,7.195277
3,Baseline,68,20.0,5331.6,25.0,91.0,26.0,106.0,79.31199,35085.6,1.6199447,497.61688,8.010032
3,Baseline,69,20.0,4477.6,15.0,76.0,26.0,0.0,75.31379,36274.0,1.5852953,502.90814,5.2912555
3,Baseline,70,20.0,4128.5,26.0,61.0,26.0,0.0,76.81521,33389.6,1.6694702,508.83118,5.9230356
3,Baseline,71,20.0,3461.15,23.0,51.0,26.0,14.0,78.413155,26653.6,1.8897173,514.30426,5.473064
3,Baseline,72,20.0,2940.75,22.0,56.0,26.0,0.0,76.493,23872.0,2.0085359,518.8866,4.582363
3,Baseline,73,20.0,2697.65,28.0,21.0,26.0,6.0,74.115906,21798.0,2.1153896,526.25323,7.3666344
3,Baseline,74,19.0,3880.95,9.0,61.0,26.0,0.0,77.32509,31480.4,1.7144434,533.7637,7.510452
3,Baseline,75,21.0,6378.1,25.0,96.0,26.0,0.0,78.95419,51632.8,1.2113726,541.5689,7.8052073
3,Baseline,76,20.0,5787.9,26.0,36.0,26.0,0.0,76.17639,46793.2,1.3263942,552.73096,11.162069
3,Baseline,77,20.0,4366.9,16.0,96.0,26.0,0.0,76.84806,35325.2,1.6123493,558.1368,5.4058266
